time_ms,cpu_usage,active_workers
1,10,1
12,10,1
22,45,2
32,45,2
42,55,3
52,55,3
63,65,4
73,65,4
83,100,5
93,100,5
103,100,5
113,100,5
124,100,5
134,100,5
144,100,5
155,100,5
165,100,5
175,100,5
185,100,5
195,100,5
205,90,4
216,90,4
226,100,5
236,100,5
247,100,5
257,100,5
267,100,5
277,100,5
288,95,7
298,95,7
308,95,7
318,95,7
328,95,7
338,95,7
349,95,7
359,95,7
369,95,7
379,95,7
389,95,7
399,95,7
409,95,7
419,95,7
430,95,7
440,95,7
450,95,7
460,95,7
470,95,7
480,95,7
490,95,7
500,95,7
511,95,7
521,95,7
531,95,7
541,95,7
551,95,7
561,95,7
571,95,7
582,95,7
592,95,7
602,95,7
612,95,7
622,95,7
632,80,8
642,80,8
652,80,8
663,80,8
673,80,8
683,80,8
693,80,8
703,80,8
713,80,8
724,80,8
734,80,8
744,80,8
754,80,8
764,80,8
774,80,8
784,80,8
795,80,8
805,80,8
815,80,8
825,80,8
836,80,8
846,80,8
857,80,8
868,80,8
879,80,8
890,80,8
901,80,8
912,80,8
922,80,8
932,80,8
942,80,8
953,80,8
963,80,8
973,80,8
983,80,8
993,80,8
1003,80,8
1013,80,8
1023,80,8
1034,95,7
1044,95,7
1054,95,7
1064,95,7
1074,95,7
1084,95,7
1094,95,7
1105,95,7
1115,95,7
1125,95,7
1135,95,7
1145,95,7
1155,95,7
1165,95,7
1176,95,7
1186,95,7
1196,95,7
1206,95,7
1216,95,7
1226,50,5
1236,80,8
1246,80,8
1257,80,8
1267,70,7
1277,80,8
1287,70,7
1297,70,7
1307,70,7
1318,70,7
1328,70,7
1338,70,7
1348,70,7
1358,70,7
1368,70,7
1379,70,7
1389,70,7
1399,70,7
1409,70,7
1419,70,7
1429,95,7
1439,95,7
1450,95,7
1460,95,7
1470,95,7
1480,95,7
1490,95,7
1500,95,7
1511,95,7
1521,95,7
1531,95,7
1541,95,7
1551,95,7
1561,95,7
1572,95,7
1582,95,7
1592,95,7
1602,95,7
1612,95,7
1622,95,7
1632,80,8
1643,80,8
1654,80,8
1664,80,8
1674,80,8
1684,80,8
1695,80,8
1705,80,8
1715,80,8
1725,80,8
1736,80,8
1746,80,8
1757,80,8
1767,80,8
1777,80,8
1787,80,8
1797,80,8
1808,80,8
1818,80,8
1828,80,8
1838,80,8
1848,80,8
1858,80,8
1868,80,8
1879,80,8
1889,80,8
1899,80,8
1909,80,8
1919,80,8
1929,80,8
1940,80,8
1950,80,8
1960,80,8
1970,80,8
1980,80,8
1990,80,8
2000,80,8
2011,80,8
2021,80,8
2031,80,8
2041,80,8
2051,80,8
2061,80,8
2072,80,8
2082,80,8
2092,80,8
2102,80,8
2112,80,8
2122,80,8
2132,80,8
2143,80,8
2153,80,8
2163,80,8
2173,80,8
2183,80,8
2193,80,8
2203,80,8
2214,80,8
2224,80,8
2234,80,8
2244,80,8
2255,80,8
2265,80,8
2275,80,8
2286,80,8
2297,80,8
2307,80,8
2317,80,8
2327,80,8
2338,80,8
2349,80,8
2359,80,8
2369,80,8
2379,80,8
2389,80,8
2400,80,8
2410,80,8
2420,80,8
2430,80,8
2440,80,8
2450,80,8
2460,80,8
2471,70,7
